plan

{

floor	roman_ruins_underlay.CAS	


	borders	border_limits_64m_diameter.CAS

barbarian_round_house_small,		-25.00,	-25.00,	135.00,	0.00
barbarian_round_house_small,		0.00,	-35.00,	180.00,	0.00
pile_of_logs,		-8,	-33,	0,	0
tree_A,	10.50,	-45.00,	0.00,	0.00
barbarian_round_house_small,		30.00,	-20.00,	-135.00,	0.00
bush_A,		30,	-5,	90,	0
barbarian_round_house_large,		40.00,	0.00,	-90.00,	0.00
tree_B,	-48.11,	2.11,	15.00,	0.00
tree_A,	45.30,	6.72,	0.00,	0.00
stove,			20,	0,	0,	0
pile_of_logs,		10,	-3,	0,	0
pile_of_logs,		22,	5,	45,	0
tree_B,	35.00,	20.00,	15.00,	0.00
tree_A,	25.00,	38.35,	0.00,	0.00
bush_A,		-30,	38,	0,	0
barbarian_round_house_large,		-30.00,	10.00,	90.00,	0.00
bush_A,	-22.00,	6.99,	46.00,	0.00
bush_A,	-41.39,	-24.67,	43.00,	0.00
bush_A,		0,	10,	90,	0
bush_A,		0,	10,	90,	0
barbarian_lith,		40,	40,	0,	0


	}
